"ID";"RegioS";"Perioden";"TotaleBevolking_1";"BinnenlandsMigratiesaldo_71";"BinnenlandsMigratiesaldoRelatief_72";"Migratiesaldo_76";"TotaalParticuliereHuishoudens_140";"BedrijfsvestigingenTotaal_168";"Naam_294"
"295";"PV27  ";"2002JJ00";" 2559477";"   -4143";"    -1.6";"    7211";"";"";"                                                  "
"296";"PV27  ";"2003JJ00";" 2573120";"   -1113";"    -0.4";"    2420";"";"";"                                                  "
"297";"PV27  ";"2004JJ00";" 2587265";"     332";"     0.1";"    -572";"";"";"                                                  "
"298";"PV27  ";"2005JJ00";" 2599103";"     682";"     0.3";"   -4620";"";"";"                                                  "
"299";"PV27  ";"2006JJ00";" 2606584";"    2232";"     0.9";"   -6417";"    30.1";"";"                                                  "
"300";"PV27  ";"2007JJ00";" 2613070";"    2043";"     0.8";"     528";"    31.6";"";"                                                  "
"301";"PV27  ";"2008JJ00";" 2626163";"    3944";"     1.5";"    5766";"    34.1";"";"                                                  "
"302";"PV27  ";"2009JJ00";" 2646445";"    4072";"     1.5";"    6886";"    34.8";"";"                                                  "
"303";"PV27  ";"2010JJ00";" 2669084";"    5917";"     2.2";"    5965";"    34.8";"";"                                                  "
"304";"PV27  ";"2011JJ00";" 2691477";"    4474";"     1.7";"    4341";"    34.7";"";"                                                  "
"305";"PV27  ";"2012JJ00";" 2709822";"    5225";"     1.9";"    1534";"    34.7";"";"                                                  "
"306";"PV27  ";"2013JJ00";" 2724300";"    6111";"     2.2";"    3484";"    35.1";"  261475";"                                                  "
"307";"PV27  ";"2014JJ00";" 2741369";"    3899";"     1.4";"    8207";"    35.3";"  266345";"                                                  "
"308";"PV27  ";"2015JJ00";" 2761929";"    4452";"     1.6";"   11940";"    37.0";"  279475";"                                                  "
"309";"PV27  ";"2016JJ00";" 2784854";"    2055";"     0.7";"   16013";"";"  292505";"                                                  "
"310";"PV27  ";"2017JJ00";" 2809483";"";"";"";"";"  302760";"                                                  "
"311";"PV27  ";"2018JJ00";" 2833263";"";"";"";"";"";"                                                  "
"312";"PV28  ";"1995JJ00";" 3325064";"   -6462";"    -1.9";"    3075";"";"";"                                                  "
"313";"PV28  ";"1996JJ00";" 3332860";"   -5458";"    -1.6";"    5535";"";"";"                                                  "
"314";"PV28  ";"1997JJ00";" 3344695";"   -4505";"    -1.3";"    7125";"";"";"                                                  "
"315";"PV28  ";"1998JJ00";" 3359047";"   -2234";"    -0.7";"    9609";"";"";"                                                  "
"316";"PV28  ";"1999JJ00";" 3378770";"   -3904";"    -1.2";"   10338";"";"";"                                                  "
"317";"PV28  ";"2000JJ00";" 3397744";"   -5086";"    -1.5";"   14665";"";"";"                                                  "
"318";"PV28  ";"2001JJ00";" 3420700";"   -4548";"    -1.3";"   13340";"";"";"                                                  "
"319";"PV28  ";"2002JJ00";" 3423780";"   -4217";"    -1.2";"    7466";"";"";"                                                  "
"320";"PV28  ";"2003JJ00";" 3439982";"   -3701";"    -1.1";"    2270";"";"";"                                                  "
"321";"PV28  ";"2004JJ00";" 3451942";"   -5164";"    -1.5";"   -2396";"";"";"                                                  "
"322";"PV28  ";"2005JJ00";" 3458381";"   -5448";"    -1.6";"   -6474";"";"";"                                                  "
"323";"PV28  ";"2006JJ00";" 3458875";"   -6070";"    -1.8";"  -10529";"    29.9";"";"                                                  "
"324";"PV28  ";"2007JJ00";" 3455097";"   -4088";"    -1.2";"   -1442";"    31.5";"";"                                                  "
"325";"PV28  ";"2008JJ00";" 3461435";"   -2577";"    -0.7";"    8764";"    33.8";"";"                                                  "
"326";"PV28  ";"2009JJ00";" 3481558";"     843";"     0.2";"    9416";"    34.4";"";"                                                  "
"327";"PV28  ";"2010JJ00";" 3505611";"    1255";"     0.4";"    9005";"    34.6";"";"                                                  "
"328";"PV28  ";"2011JJ00";" 3528324";"     657";"     0.2";"   10337";"    34.5";"";"                                                  "
"329";"PV28  ";"2012JJ00";" 3552407";"      23";"     0.0";"      29";"    34.3";"";"                                                  "
"330";"PV28  ";"2013JJ00";" 3563935";"    1186";"     0.3";"    1698";"    34.6";"  270085";"                                                  "
"331";"PV28  ";"2014JJ00";" 3577032";"    3510";"     1.0";"    7443";"    34.9";"  274830";"                                                  "
"332";"PV28  ";"2015JJ00";" 3600011";"    4553";"     1.3";"    8904";"    36.3";"  286395";"                                                  "
"333";"PV28  ";"2016JJ00";" 3622303";"    8989";"     2.5";"    9691";"";"  297820";"                                                  "
"334";"PV28  ";"2017JJ00";" 3650222";"";"";"";"";"  305890";"                                                  "
"335";"PV28  ";"2018JJ00";" 3680652";"";"";"";"";"";"                                                  "
"336";"PV29  ";"1995JJ00";"  365846";"      36";"     0.1";"     667";"";"";"                                                  "
"337";"PV29  ";"1996JJ00";"  367354";"    -583";"    -1.6";"     827";"";"";"                                                  "
"338";"PV29  ";"1997JJ00";"  368426";"    -402";"    -1.1";"    1083";"";"";"                                                  "
"339";"PV29  ";"1998JJ00";"  369949";"   -1259";"    -3.4";"    1175";"";"";"                                                  "
"340";"PV29  ";"1999JJ00";"  370571";"    -365";"    -1.0";"     954";"";"";"                                                  "
"341";"PV29  ";"2000JJ00";"  371866";"     429";"     1.1";"    1802";"";"";"                                                  "
"342";"PV29  ";"2001JJ00";"  374920";"     548";"     1.5";"    1050";"";"";"                                                  "
"343";"PV29  ";"2002JJ00";"  377235";"     -55";"    -0.1";"     670";"";"";"                                                  "
"344";"PV29  ";"2003JJ00";"  378348";"    -195";"    -0.5";"     218";"";"";"                                                  "
"345";"PV29  ";"2004JJ00";"  379028";"     412";"     1.1";"       5";"";"";"                                                  "
"346";"PV29  ";"2005JJ00";"  379978";"     537";"     1.4";"    -631";"";"";"                                                  "
"347";"PV29  ";"2006JJ00";"  380186";"     219";"     0.6";"    -163";"    28.9";"";"                                                  "
"348";"PV29  ";"2007JJ00";"  380497";"     -59";"    -0.2";"    -128";"    30.2";"";"                                                  "
"349";"PV29  ";"2008JJ00";"  380585";"    -415";"    -1.1";"     435";"    32.5";"";"                                                  "
"350";"PV29  ";"2009JJ00";"  380984";"    -839";"    -2.2";"     989";"    33.2";"";"                                                  "
"351";"PV29  ";"2010JJ00";"  381409";"    -799";"    -2.1";"     992";"    33.4";"";"                                                  "
"352";"PV29  ";"2011JJ00";"  381530";"   -1322";"    -3.5";"    1103";"    33.3";"";"                                                  "
"353";"PV29  ";"2012JJ00";"  381407";"   -1088";"    -2.9";"     889";"    33.3";"";"                                                  "
"354";"PV29  ";"2013JJ00";"  381077";"   -1300";"    -3.4";"    1154";"    33.7";"   29030";"                                                  "
"355";"PV29  ";"2014JJ00";"  380621";"    -633";"    -1.7";"     621";"    34.0";"   29370";"                                                  "
"356";"PV29  ";"2015JJ00";"  380726";"    -179";"    -0.5";"    1029";"    35.3";"   30350";"                                                  "
"357";"PV29  ";"2016JJ00";"  381252";"    -702";"    -1.8";"    1443";"";"   31175";"                                                  "
"358";"PV29  ";"2017JJ00";"  381568";"";"";"";"";"   31800";"                                                  "
"359";"PV29  ";"2018JJ00";"  382335";"";"";"";"";"";"                                                  "
"360";"PV30  ";"1995JJ00";" 2276207";"    2723";"     1.2";"    1403";"";"";"                                                  "
"361";"PV30  ";"1996JJ00";" 2290424";"    1851";"     0.8";"    1572";"";"";"                                                  "
"362";"PV30  ";"1997JJ00";" 2304094";"    2279";"     1.0";"    2466";"";"";"                                                  "
"363";"PV30  ";"1998JJ00";" 2319262";"    2361";"     1.0";"    5653";"";"";"                                                  "
"364";"PV30  ";"1999JJ00";" 2337709";"    2856";"     1.2";"    4803";"";"";"                                                  "
"365";"PV30  ";"2000JJ00";" 2356004";"    2868";"     1.2";"    4352";"";"";"                                                  "
"366";"PV30  ";"2001JJ00";" 2375116";"    1543";"     0.6";"    3672";"";"";"                                                  "
"367";"PV30  ";"2002JJ00";" 2391123";"    -211";"    -0.1";"    -829";"";"";"                                                  "
